index,commentaire,cache_hit,parse_ok,error,theme,sub_theme,severity,main_issue,recommended_action,confidence,contact_id,id_profil,id_conseiller,date_contact
132,IL FAUDRAIT VOUS RENSEIGNER AU PRÈS DE VOS SERVICES TECHNIQUES AVANT DE NOUS FAIRE PRENDRE UN RDV. JE DEMANDE UN GESTE COMMERCIAL.,False,True,,support client insuffisant,Manque de coordination avec le service technique avant prise de rendez-vous,3,Prise de rendez-vous sans vérification préalable avec service technique,Coordonner mieux les services avant de fixer des rendez-vous,0.9,49019785,26925631,0.0,2025-10-13
147,"Délai d'intervention supérieur à 48h, trop long. Serveur vocal incapable de traiter ma demande, heureusement l'application Free a très bien fonctionné. Technicien compétent et opérationnel face au problème.",False,True,,service technique,Délai d'intervention trop long malgré compétence technique,4,Délai d'intervention supérieur à 48h jugé trop long,Réduire les délais d'intervention pour les pannes,0.9,49424861,23762567,0.0,2025-10-20
160,"C'est ridicule que vous n'avez pas l'option de rétracter l'abonnement TV by Canal et vous me faites tourner en rond pendant un mois et au final vous m'obligez à payer 45 € par an pour un service que je n'utiliserai pas. Non, c'est hors de question que je reste dans cet abonnement. Je vais changer d'opérateur.",False,True,,tarification,Absence d'option de rétractation pour abonnement TV imposant un coût inutile,4,Obligation de payer un abonnement TV non désiré sans possibilité de rétractation,Permettre la rétractation ou suppression facile des options TV,0.9,49424540,34878775,0.0,2025-10-20
170,ça ne fonctionne toujours pas,False,True,,probleme d'internet,Problème persistant d'accès internet non résolu,5,Connexion internet toujours non fonctionnelle,Intervenir rapidement pour rétablir la connexion,0.95,49424166,57235609,0.0,2025-10-20
174,Il serait souhaitable d'avoir le conseiller directement au téléphone et pas uniquement par mail,False,True,,support client insuffisant,Préférence pour contact téléphonique direct plutôt que mail,3,Difficulté à joindre un conseiller directement au téléphone,Offrir un accès téléphonique plus direct aux conseillers,0.9,49424067,81161556,0.0,2025-10-20
183,"Aucune écoute, aucun sens de la relation, exactement comme dans la pub de Reef !",False,True,,support client insuffisant,Manque d'écoute et de relation client perçue comme défaillante,3,Absence d'écoute et mauvaise qualité relationnelle,Former le personnel à la relation client,0.9,49423525,85873945,0.0,2025-10-20
185,"Aucun contact de l'équipe de proximité ! Personne ne m'a averti que la panne était réparée, c'est en rallumant mon téléviseur que je l'ai constaté.",False,True,,service technique,Absence d'information sur la réparation de la panne par l'équipe de proximité,3,Pas d'avertissement de la réparation de la panne,Améliorer la communication post-intervention,0.9,49423263,24244022,0.0,2025-10-20
196,Personnels pas très professionnels,False,True,,support client insuffisant,Professionnalisme insuffisant du personnel,3,Personnel jugé peu professionnel,Renforcer la formation et le professionnalisme du personnel,0.85,49422773,99805184,0.0,2025-10-20
201,"Je trouve que pour écrire un message ce n'est pas simple, le carré de messagerie est caché, ça prend plus de temps.",False,True,,support client insuffisant,Interface de messagerie peu ergonomique ralentissant la communication,2,Difficulté à écrire un message à cause de l'interface cachée,Améliorer l'ergonomie de la messagerie client,0.85,49422179,95852626,0.0,2025-10-20
214,"En panne samedi AM vers 16 h. Free est coutumier de pannes qui durent 1 h ou 2, donc on attend. Après 4 heures de panne, je fais le 3244 et je suis en galère. Il faut avoir la box, le code secret ? Et bien sûr, on n’a pas ces infos sur soi en permanence, donc ON NE PEUT PAS avoir qui que ce soit chez « Reef » ?  

Après avoir trouvé les infos (box et code secret), le 3244 (le robot ? Il n’y a plus d’interlocuteur vivant) fait un test et confirme une anomalie, mais « on vous tient au courant dès que possible ». Je complète sur le compte Free la description de panne + photo de la box bloquée en phase 3. Plus tard, on me demande des précisions ? La photo du problème sur la box ne suffit pas ? Et plus tard, on me demande de prendre RDV pour avoir la visite d’un technicien. Le planning proposé le plus tôt est le jeudi suivant, soit 6 jours après la panne. Merci qui ? Merci Free.  

Finalement, ça marche, mais sans explications sur la raison, sans dédommagement aucun.",False,True,,service technique,Processus de gestion de panne complexe et délai d'intervention long,4,"Difficultés à joindre le support, délai d'intervention de 6 jours sans explication ni dédommagement",Simplifier le processus de prise en charge et réduire les délais,0.95,49420403,55914401,0.0,2025-10-20
223,Trop de problèmes de connexion dès le moindre pluie « problème exceptionnel » si ça se passe à chaque fois il n'y a rien d'exceptionnel,False,True,,probleme d'internet,Problèmes de connexion fréquents liés aux conditions météorologiques,4,"Pannes fréquentes dès qu'il pleut, qualifiées à tort d'exceptionnelles",Améliorer la robustesse du réseau face aux intempéries,0.9,49420251,29962305,0.0,2025-10-20
227,Ma note ne porte pas sur les conseillers mais sur mon mécontentement suite aux problèmes techniques de dysfonctionnement récurrent de ma box wifi qui a des répercussions négatives sur mon télétravail.,False,True,,probleme d'internet,Dysfonctionnements récurrents de la box wifi impactant le télétravail,4,Problèmes techniques récurrents affectant la connexion wifi,Résoudre définitivement les problèmes techniques de la box,0.9,49420234,62554315,0.0,2025-10-20
229,"Je n'ai pas Canal Plus sur la chaîne 40 et je rend Free responsable de ce problème. Canal Plus me dit qu'en octobre un abonnement Free de trois mois gratuit est dépassé et que je leur dois 12,26 euros que je ne payerai pas. Je ne vois pas pourquoi je devrais payer un abonnement à Canal Plus alors que cela fait partie de l'offre Free. Je demande donc à Free, sous huit jours, de me donner accès à ce pour quoi je paye et de régler le problème avec Canal Plus ou bien de déduire les 12,26 euros de ma prochaine facture. Ensuite je pourrai payer Canal Plus et ensuite pouvoir récupérer le service. Dans l'attente de votre réponse. Cordialement",False,True,,probleme avec le produit,Problème d'accès à Canal Plus inclus dans l'offre Free,4,Accès à Canal Plus bloqué malgré abonnement Free,Coordonner avec Canal Plus pour rétablir l'accès ou ajuster la facturation,0.9,49420191,33729865,0.0,2025-10-20
243,"Je n'ai pas demandé la Freebox mais le changement du boîtier ADSL hors service.  
Je n'ai également pas de rendez-vous avec vos services.",False,True,,service technique,Erreur dans la gestion de la demande de remplacement de matériel,3,Demande de changement de boîtier ADSL non prise en compte,Améliorer la gestion des demandes de matériel,0.9,49419750,26963704,0.0,2025-10-20
254,"Le conseiller Julien super désagréable m’a raccroché au nez et en plus je n’ai pas pu résilier mon abonnement Netflix, je vraiment besoin d’aide car je ne suis pas satisfait, je vais résilier le contrat chez Free.",False,True,,support client insuffisant,Comportement inapproprié du conseiller et impossibilité de résilier un service,4,Conseiller désagréable et impossibilité de résilier Netflix,Former les conseillers à la gestion des résiliations et au respect client,0.9,49419211,68150822,0.0,2025-10-20
258,Free n'a pas d'avatar pour identifier ses boites Mail !!!!,False,True,,probleme avec le produit,Absence d'avatar pour identifier les boîtes mail Free,2,Manque de personnalisation des boîtes mail Free,Ajouter une fonctionnalité d'avatar pour les boîtes mail,0.8,49419147,26185283,0.0,2025-10-20
265,"Aucun contact avec le service ""relation clients"" malgré les nombreux problèmes de connexion de notre box qui se répètent et durent. Toujours même mail : ""des perturbations exceptionnelles"". Revoir la définition d'exceptionnel et de relation clients. On attend un conseiller.",False,True,,support client insuffisant,Absence de contact client malgré problèmes répétés de connexion,4,Pas de réponse du service client malgré problèmes techniques récurrents,Renforcer la disponibilité et la réactivité du service client,0.9,49419034,51861210,0.0,2025-10-20
268,Sa arrive sou vent actuellement .Très désagréable .j espère que sa va s arrêter.merci,False,True,,probleme d'internet,Pannes fréquentes et désagréables,3,Pannes fréquentes et désagréables,Améliorer la stabilité du réseau,0.85,49419047,46712600,0.0,2025-10-20
276,"3 pannes sur cette semaine + 4 pannes au début de septembre, cela fait beaucoup de coupures et d'heures d'abonnement payées pour rien. Il serait bienvenu de faire un geste commercial conséquent.",False,True,,probleme d'internet,Multiples pannes entraînant perte d'heures d'abonnement payées,4,Nombre élevé de pannes sur une courte période,Proposer un geste commercial et améliorer la fiabilité,0.9,49418817,15094126,0.0,2025-10-20
283,Je souhaite avoir un conseiller en ligne concernant le mode de paiement de mon forfait mobile.,False,True,,support client insuffisant,Demande d'assistance pour mode de paiement non satisfaite,3,Souhait d'avoir un conseiller en ligne pour paiement mobile,Faciliter l'accès à un conseiller pour les questions de paiement,0.85,49418405,32227254,0.0,2025-10-20
285,"Les pannes deviennent de plus en plus récurrentes ces derniers temps, sur les réseaux en règle générale (plusieurs opérateurs). Ce n'est pas la 1ère fois, et cela gêne considérablement notre travail à la maison. Jusqu'à récemment, nous avions passé DES ANNEES sans aucun souci depuis notre souscription à FREE. Espérons que cela ne devienne pas chronique!",False,True,,probleme d'internet,Augmentation des pannes réseau récurrentes affectant le travail à domicile,4,Pannes réseau fréquentes perturbant le télétravail,Améliorer la stabilité et la qualité du réseau,0.9,49418379,42630560,0.0,2025-10-20
288,"Nous ne sommes pas du tout content des valeurs de Free, la bonne pub ne sera pas faite pour vous, au revoir Free.",False,True,,churn,Insatisfaction générale envers les valeurs de Free,3,Mécontentement global envers Free,Améliorer l'image et la satisfaction client,0.8,49418228,60498807,0.0,2025-10-20
303,"3244 nul  
Impossible à joindre  
Une honte",False,True,,support client insuffisant,Difficulté à joindre le service client par téléphone,4,"Impossibilité de joindre le 3244, service jugé honteux",Améliorer la disponibilité du service téléphonique,0.9,49334437,25327883,135088.0,2025-10-17
310,"Je voulais demander des informations en appelant le service client, il n’a pas répondu à ma question et il voulait prendre mon RIB lorsque je ne voulais pas lui communiquer mon RIB ; il m’a dit qu’il me bloquerait.",False,True,,support client insuffisant,Mauvaise gestion de la demande et pression pour fournir un RIB,4,Service client non coopératif et menace de blocage si RIB non fourni,Former le personnel à la gestion respectueuse des demandes,0.9,49309891,86987475,135088.0,2025-10-17
325,"J'avais une question sur la durée de l'offre promotionnelle (prix du forfait), ayant mal lu les conditions générales de vente envoyées par mail.  
J'ai donc appelé le service de souscription. La personne au téléphone n'était pas très agréable et à côté complet de l'information que je lui demandais. Quand j'ai fini par lui demander qui pouvait me renseigner, elle ne savait pas....  
Pour attirer les nouveaux clients, j'ai vu mieux quand même !",False,True,,support client insuffisant,Manque de compétence et d'information du service de souscription,3,Conseiller peu agréable et incapable de répondre aux questions,Former les conseillers pour une meilleure information client,0.9,49284451,60925672,135088.0,2025-10-17
360,Insatisfaite !!!,False,True,,churn,Insatisfaction exprimée sans détail,3,Client insatisfait sans précision,Recueillir plus d'informations pour mieux comprendre l'insatisfaction,0.7,49573638,22617485,0.0,2025-10-22
363,"Problème répétitif !!! Aucune réponse du service ,",False,True,,support client insuffisant,Absence de réponse du service client face à problème répétitif,4,Aucune réponse du service client malgré problèmes répétés,Améliorer la réactivité du service client,0.9,49573689,87530529,0.0,2025-10-22
367,"La réponse donnée n'a aucun rapport avec ma demande comme s'il s'agissait d'une réponse automatique. J'ai demandé pourquoi en voulant passer de la pop à l'ultra essentiel, on me disait que je devais payer 40,99 euros alors qu'il est indiqué 39,90 euros sur le site de Free. Si on me fait payer des frais de migration, ce qui est un vol en soit, c'est considéré comme un nouvel abonnement. Donc le tarif à 30,99 euros devrait m'être appliquée.  
C'est inadmissible de ne plus avoir la possibilité d'avoir directement un interlocuteur avec Free quand je déplore la qualité de mon réseau et qu'on me répond toujours à côté de la plaque. Une honte pour Free que j'utilise depuis son arrivée.",False,True,,tarification,Incohérence tarifaire et frais de migration perçus comme abusifs,4,Frais de migration élevés et incohérence des tarifs affichés,Clarifier la tarification et réduire les frais de migration,0.9,49573637,93130326,0.0,2025-10-22
368,"Aucun moyen d'arranger une situation à titre exceptionnel et on ne peut même pas choisir notre date pour les prélèvements, réponse à la va-vite sans chercher plus loin ni essayer de proposer une solution. J’ai juste demandé à décaler une date de prélèvement en fonction du salaire, comme tous les autres organismes le font : même Canal+ m’a proposé un délai pour le règlement d’une mensualité. Donc Free préfère prendre des frais aux gens que les aider à trouver un arrangement !",False,True,,tarification,Refus d'arrangement exceptionnel et rigidité sur les dates de prélèvement,4,Impossibilité de décaler la date de prélèvement malgré demande,Offrir plus de flexibilité dans la gestion des prélèvements,0.9,49573537,66175651,0.0,2025-10-22
373,"Rien à redire sur l'intervention du technicien, par contre côté Free (direction) il est honteux que Free ne prenne pas les choses au sérieux et ne mette pas les moyens pour sécuriser son réseau. Je ne recommande Free à personne : interventions à répétition, délais d’intervention trop longs, aucun délai pour réparer définitivement, aucun respect de la parole donnée. Il suffit de voir l'historique de mes demandes pour constater que Free se fiche de ses clients.  
Double zéro pointé.",False,True,,service technique,Manque de sérieux et moyens insuffisants pour sécuriser le réseau,5,"Interventions répétées, délais longs, non respect des engagements",Renforcer les moyens et le sérieux dans la gestion technique,0.95,49572649,25389338,0.0,2025-10-22
383,"Le conseiller était très à l'écoute de la requête, il a très bien compris ma demande mais n'a pas pu apporter de solution immédiate et favorable à ma requête.  
Mais je le remercie pour sa gentillesse.",False,True,,support client insuffisant,Conseiller à l'écoute mais sans solution immédiate,2,Bonne écoute du conseiller mais absence de solution immédiate,Former les conseillers à proposer des solutions rapides,0.85,49572537,55003108,0.0,2025-10-22
384,"À la demande de votre conseillère de proximité Léa, j'ai résilié mon contrat car la connexion Internet était souvent interrompue. Plusieurs techniciens se sont déplacés et malgré que j'aie résilié, j'ai dû payer des frais de résiliation de 59 €, je trouve ça inadmissible car c'est vous qui n'avez pas su honorer votre contrat.",False,True,,churn,Résiliation suite à problèmes de connexion et frais de résiliation jugés injustes,4,Résiliation due à coupures fréquentes et frais de résiliation imposés,Réduire les frais de résiliation en cas de défaillance du service,0.9,49572550,53968683,0.0,2025-10-22
385,Pas satisfaite du service. Je suis restée sans réseau pendant presque 2 mois. 2 RDV d’intervention de technicien annulés après le jour de l’intervention sans raison. Prélèvement de la facture avec pénalité suite rejet alors que je suis sans réseau depuis 1 mois. Impact sur mon travail car besoin de réseau. Très mauvaise communication avec le service client.,False,True,,service technique,Interventions techniques annulées et absence de réseau prolongée (problème d'organisation et communication interne),5,Absence prolongée de réseau et annulation répétée des interventions techniques sans explication.,Améliorer la gestion des interventions techniques et la communication avec les clients pour éviter les annulations injustifiées.,0.95,49572496,63352391,0.0,2025-10-22
395,"Échanges avec les conseillers positifs, mais le délai d'intervention d'un technicien à mon domicile pour résoudre mon problème et rétablir mes services fibre beaucoup trop long : 10 jours sans les services et sans possibilité d'intervention plus rapide. Ce n'était pas le cas avant, la réactivité pour la venue d'un technicien était bien plus rapide.",False,True,,service technique,Délai d'intervention trop long pour rétablir la fibre (manque de réactivité opérationnelle),4,Délai d'attente trop long pour intervention technique à domicile.,Réduire les délais d'intervention et améliorer la planification des techniciens.,0.9,49572242,45001037,0.0,2025-10-22
426,"Je ne comprends pas ce délai, étant donné que j'ai demandé aux techniciens, ce qui s'est passé pour que cela ne fonctionne pas, il n'a pas su me répondre, il a juste dit qu'il avait de l'expérience, sauf que tous mes rendez-vous ont été annulés à chaque fois en me disant qu'il y avait un problème sur l'infrastructure.",False,True,,service technique,Incapacité des techniciens à expliquer les causes des pannes (manque de formation ou d'information),4,Manque d'explications claires sur les problèmes techniques rencontrés et annulations répétées des rendez-vous.,Former les techniciens pour qu'ils puissent mieux informer les clients et améliorer la coordination avec l'infrastructure.,0.9,49571477,18351942,0.0,2025-10-22
432,"Totalement déçus du service Fibre. Depuis plus de 9 mois, aucune demande d'installation de point de branchement n'a été faite auprès de l'organisme concerné, alors que nous sommes régulièrement sollicités pour le raccordement au réseau !!!!",False,True,,service technique,Absence de demande d'installation de point de branchement (manque de suivi administratif),5,Aucune demande d'installation de point de branchement effectuée depuis 9 mois malgré sollicitations.,Mettre en place un suivi rigoureux des demandes d'installation et améliorer la coordination avec les organismes concernés.,0.95,49571234,31277383,0.0,2025-10-22
434,Réponse non adaptée au problème,False,True,,support client insuffisant,Réponse non adaptée au problème (manque d'écoute ou de compétence),3,Réponse du service client jugée inadaptée au problème exposé.,Former les conseillers pour mieux comprendre et répondre aux besoins des clients.,0.8,49571090,66477801,0.0,2025-10-22
442,1 mois sans téléphone ni de télé je suis pas satisfait j'espère que cette panne ne sera pas facturée,False,True,,probleme avec le produit,Panne prolongée de téléphone et télévision (défaillance technique),4,"Un mois sans téléphone ni télévision, impactant la satisfaction client.",Accélérer la résolution des pannes et éviter la facturation des périodes sans service.,0.9,49570919,73936193,0.0,2025-10-22
444,"Je n'ai eu aucun conseiller en ligne donc aucune réponse positive, j'ai envoyé ma résiliation par recommandé",False,True,,support client insuffisant,Absence de conseiller en ligne et impossibilité d'obtenir une réponse (manque de disponibilité du support),4,"Aucun contact avec un conseiller en ligne, résiliation envoyée par recommandé faute de réponse.",Améliorer la disponibilité et la réactivité du support client en ligne.,0.9,49570757,65140602,0.0,2025-10-22
452,"Problème réglé que temporairement, les mêmes dysfonctionnements apparaissent à nouveau",False,True,,service technique,Problème récurrent non résolu définitivement (interventions temporaires inefficaces),4,Dysfonctionnements réapparaissant après une résolution temporaire.,Mettre en place des solutions durables et un suivi rigoureux des incidents.,0.9,49570519,71307930,0.0,2025-10-22
466,Scandaleux de payer plus cher l'abonnement qu'un nouvel abonné.,False,True,,tarification,Abonnement plus cher que pour les nouveaux clients (politique tarifaire défavorable aux anciens clients),3,Insatisfaction liée au prix plus élevé pour les abonnés existants comparé aux nouveaux.,Revoir la politique tarifaire pour fidéliser les clients existants.,0.85,49570160,20880656,0.0,2025-10-22
467,"Conseillé qui veut beaucoup trop faire copain-copain. Grand manque d'efficacité. Au total 20 minutes de perdu pour me dire qu'au final il a envoyé une lettre de résiliation par voie postale alors qu'il est noté sur le site qu'on peut résilier au 3244.  
Très déçu du service FREE depuis ma souscription.",False,True,,support client insuffisant,Conseiller inefficace et mauvaise information sur la résiliation (manque de formation et communication interne),3,Perte de temps et mauvaise gestion de la résiliation par le conseiller.,Former les conseillers sur les procédures de résiliation et améliorer la communication interne.,0.85,49570212,98478112,0.0,2025-10-22
469,"Ces pannes de connexion arrivent BIEN TROP SOUVENT!! Free est très riche et a suffisamment de moyens pour faire en sorte que ses lignes soient plus solides et moins exposées aux pannes. Le règlement de mon abonnement mensuel, depuis plus de 20 ans, n'a jamais été en panne!!",False,True,,probleme d'internet,Pannes fréquentes de connexion malgré moyens financiers importants (problème d'infrastructure),4,Fréquence élevée des pannes de connexion internet.,Investir dans la robustesse des infrastructures pour réduire les pannes.,0.9,49569838,13605718,0.0,2025-10-22
471,"Les interlocuteurs ont essayé sans résultat car à mon avis il est difficile de faire des interventions à distance avec des interlocuteurs différents. Ce fut du bricolage plus destructeur que réparateur.  
Tout refonctionne mais pas grâce à l'assistance FREE.",False,True,,service technique,Interventions à distance inefficaces et bricolage (manque de coordination et compétences techniques),4,"Assistance technique inefficace, réparations temporaires sans résultat durable.",Améliorer la coordination entre interlocuteurs et la qualité des interventions techniques.,0.9,49569667,24869748,0.0,2025-10-22
482,"Depuis votre nouveau système d’être rappelé, je n’ai jamais été autant dans l’attente que maintenant, alors que j’en ai fait des opérateurs.",False,True,,support client insuffisant,Temps d'attente très long pour être rappelé (problème de gestion des rappels),3,Attente excessive pour être rappelé par le service client.,Optimiser le système de rappel pour réduire les délais d'attente.,0.85,49568227,90262114,0.0,2025-10-22
485,"Je ne suis pas satisfait depuis le début de FREE et je suis étonné de telles réactions pour un si grand opérateur, j'en ferai part en direction afin que de temps en temps, ils aient des remontées en direct de ce qui se passe en région.",False,True,,support client insuffisant,Insatisfaction générale et manque de remontées terrain (manque de suivi client et communication régionale),3,Mécontentement global vis-à-vis du service et absence de prise en compte des retours clients.,Mettre en place un système de remontée des avis clients en région pour améliorer le service.,0.8,49568207,85078501,0.0,2025-10-22
490,service nulle et ne sert a rien,False,True,,support client insuffisant,Service jugé inutile et inefficace (manque de qualité du support),3,Perception d'un service client inutile et inefficace.,Renforcer la formation et la qualité du service client.,0.8,49568006,21933115,0.0,2025-10-22
492,Sans commentaires conseiller désagréable,False,True,,support client insuffisant,Conseiller désagréable (manque de professionnalisme),2,Comportement désagréable d'un conseiller.,Former les conseillers à la relation client et au professionnalisme.,0.85,49568011,59039822,0.0,2025-10-22
494,Mieux comprendre la demande serai bien car je stipule que j'avais le débit bien plus élevé auparavant.,False,True,,probleme d'internet,Débit internet inférieur à celui antérieur (problème technique ou configuration),3,Débit internet plus faible qu'auparavant sans explication claire.,Analyser et optimiser la connexion internet pour restaurer les débits antérieurs.,0.85,49568028,98058786,0.0,2025-10-22
507,Nous ne pouvons plus avoir de conseiller au téléphone et maintenant il faut beaucoup de temps pour communiquer et résoudre son problème....,False,True,,support client insuffisant,Difficulté à joindre un conseiller et délais longs pour résolution (manque de disponibilité et réactivité),4,Difficulté d'accès au support et lenteur dans la résolution des problèmes.,Améliorer la disponibilité des conseillers et accélérer le traitement des demandes.,0.9,49567646,87450313,0.0,2025-10-22
