contact_id,id_profil,id_conseiller,date_contact,csat,nps,nom_departement,nom_region,du_societe_label,canal,offer_label,commentaire,nps_num,csat_num,dominant_topic,topic_probability
49022592,89398719,0.0,2025-10-13,3,5,\N,\N,\N,,24: Freebox Pop | 39.99€,"Bonjour en effet la ligne a été rétablie mais plutôt tardivement depuis la première demande il a fallu que je rappelle aller en boutique on m'a dit que le pb venait d'Orange alors que pas certain et plus rien, trop d'incertitudes. Par ailleurs, le fils de la fibre a été laissé en suspend sur la barrière et le long du mur, c'est pour cela qu'il a été endommagé ; vous ne prévoyez pas de protection ? Je reste fidèle à Free, mais moins convaincu. Rien à redire sur la gentillesse.",5.0,3,5,0.42400648823701337
49022595,71681515,0.0,2025-10-13,1,0,\N,\N,\N,,09: Freebox Révolution Light | 29.99€,"Échanges par chat très fastidieux  
J'ai eu du mal à être rappelée au téléphone",0.0,1,5,0.8539794182258047
49022558,69773960,0.0,2025-10-13,1,0,\N,\N,\N,,24: Freebox Pop | 39.99€,"Le service est catastrophique, c'est vraiment dommage que vous ayez l'exclusivité sur mon immeuble car sinon je vous aurais déjà quitté.  
Je vais conseiller à tous mes proches et mon entourage de ne jamais mettre un pied chez vous car c'est n'importe quoi.",0.0,1,7,0.5708979529383065
49019785,26925631,0.0,2025-10-13,2,5,\N,\N,\N,,11: Freebox Révolution avec TV by CANAL | 39.99€,IL FAUDRAIT VOUS RENSEIGNER AU PRÈS DE VOS SERVICES TECHNIQUES AVANT DE NOUS FAIRE PRENDRE UN RDV. JE DEMANDE UN GESTE COMMERCIAL.,5.0,2,7,0.6749373513187688
49424861,23762567,0.0,2025-10-20,3,5,\N,\N,\N,,23: Freebox Delta S | 39.99€,"Délai d'intervention supérieur à 48h, trop long. Serveur vocal incapable de traiter ma demande, heureusement l'application Free a très bien fonctionné. Technicien compétent et opérationnel face au problème.",5.0,3,7,0.7894510415610008
49424540,34878775,0.0,2025-10-20,1,0,\N,\N,\N,,25: Freebox Pop avec TV by CANAL | 44.99€,"C'est ridicule que vous n'avez pas l'option de rétracter l'abonnement TV by Canal et vous me faites tourner en rond pendant un mois et au final vous m'obligez à payer 45 € par an pour un service que je n'utiliserai pas. Non, c'est hors de question que je reste dans cet abonnement. Je vais changer d'opérateur.",0.0,1,4,0.4216012579544853
49424166,57235609,0.0,2025-10-20,1,2,\N,\N,\N,,25: Freebox Pop avec TV by CANAL | 44.99€,ça ne fonctionne toujours pas,2.0,1,2,0.5623180367855793
49424067,81161556,0.0,2025-10-20,3,6,\N,\N,\N,,11: Freebox Révolution avec TV by CANAL | 39.99€,Il serait souhaitable d'avoir le conseiller directement au téléphone et pas uniquement par mail,6.0,3,0,0.8748191788520953
49423525,85873945,0.0,2025-10-20,1,5,\N,\N,\N,,10: Freebox mini 4K | 29.99€,"Aucune écoute, aucun sens de la relation, exactement comme dans la pub de Reef !",5.0,1,3,0.3582007615867678
49423263,24244022,0.0,2025-10-20,3,6,\N,\N,\N,,22: Freebox Delta avec Player TV Free Devialet | 49.99€,"Aucun contact de l'équipe de proximité ! Personne ne m'a averti que la panne était réparée, c'est en rallumant mon téléviseur que je l'ai constaté.",6.0,3,0,0.6091774721534966
49422773,99805184,0.0,2025-10-20,1,2,\N,\N,\N,,41: Freebox Ultra Essentiel avec Player TV Free 4K | 49.99€,Personnels pas très professionnels,2.0,1,0,0.125
49422179,95852626,0.0,2025-10-20,3,4,\N,\N,\N,,29: Freebox Pop S | 29.99€,"Je trouve que pour écrire un message ce n'est pas simple, le carré de messagerie est caché, ça prend plus de temps.",4.0,3,5,0.6150066706241474
49420403,55914401,0.0,2025-10-20,1,0,\N,\N,\N,,09: Freebox Révolution Light | 29.99€,"En panne samedi AM vers 16 h. Free est coutumier de pannes qui durent 1 h ou 2, donc on attend. Après 4 heures de panne, je fais le 3244 et je suis en galère. Il faut avoir la box, le code secret ? Et bien sûr, on n’a pas ces infos sur soi en permanence, donc ON NE PEUT PAS avoir qui que ce soit chez « Reef » ?  

Après avoir trouvé les infos (box et code secret), le 3244 (le robot ? Il n’y a plus d’interlocuteur vivant) fait un test et confirme une anomalie, mais « on vous tient au courant dès que possible ». Je complète sur le compte Free la description de panne + photo de la box bloquée en phase 3. Plus tard, on me demande des précisions ? La photo du problème sur la box ne suffit pas ? Et plus tard, on me demande de prendre RDV pour avoir la visite d’un technicien. Le planning proposé le plus tôt est le jeudi suivant, soit 6 jours après la panne. Merci qui ? Merci Free.  

Finalement, ça marche, mais sans explications sur la raison, sans dédommagement aucun.",0.0,1,0,0.4972443438044861
49420251,29962305,0.0,2025-10-20,1,0,\N,\N,\N,,28: Série Spéciale Freebox Pop S | 23.99€,Trop de problèmes de connexion dès le moindre pluie « problème exceptionnel » si ça se passe à chaque fois il n'y a rien d'exceptionnel,0.0,1,2,0.3169893193062883
49420234,62554315,0.0,2025-10-20,3,2,\N,\N,\N,,24: Freebox Pop | 39.99€,Ma note ne porte pas sur les conseillers mais sur mon mécontentement suite aux problèmes techniques de dysfonctionnement récurrent de ma box wifi qui a des répercussions négatives sur mon télétravail.,2.0,3,4,0.5538027004256634
49420191,33729865,0.0,2025-10-20,1,0,\N,\N,\N,,31: Freebox Ultra avec Player TV Free 4K | 59.99€,"Je n'ai pas Canal Plus sur la chaîne 40 et je rend Free responsable de ce problème. Canal Plus me dit qu'en octobre un abonnement Free de trois mois gratuit est dépassé et que je leur dois 12,26 euros que je ne payerai pas. Je ne vois pas pourquoi je devrais payer un abonnement à Canal Plus alors que cela fait partie de l'offre Free. Je demande donc à Free, sous huit jours, de me donner accès à ce pour quoi je paye et de régler le problème avec Canal Plus ou bien de déduire les 12,26 euros de ma prochaine facture. Ensuite je pourrai payer Canal Plus et ensuite pouvoir récupérer le service. Dans l'attente de votre réponse. Cordialement",0.0,1,3,0.9786337317675406
49419750,26963704,0.0,2025-10-20,1,0,\N,\N,\N,,09: Freebox Révolution Light | 29.99€,"Je n'ai pas demandé la Freebox mais le changement du boîtier ADSL hors service.  
Je n'ai également pas de rendez-vous avec vos services.",0.0,1,7,0.446953006687566
49419211,68150822,0.0,2025-10-20,1,0,\N,\N,\N,,24: Freebox Pop | 39.99€,"Le conseiller Julien super désagréable m’a raccroché au nez et en plus je n’ai pas pu résilier mon abonnement Netflix, je vraiment besoin d’aide car je ne suis pas satisfait, je vais résilier le contrat chez Free.",0.0,1,6,0.5733418942975238
49419147,26185283,0.0,2025-10-20,2,6,\N,\N,\N,,25: Freebox Pop avec TV by CANAL | 44.99€,Free n'a pas d'avatar pour identifier ses boites Mail !!!!,6.0,2,5,0.562176271195801
49419034,51861210,0.0,2025-10-20,1,1,\N,\N,\N,,24: Freebox Pop | 39.99€,"Aucun contact avec le service ""relation clients"" malgré les nombreux problèmes de connexion de notre box qui se répètent et durent. Toujours même mail : ""des perturbations exceptionnelles"". Revoir la définition d'exceptionnel et de relation clients. On attend un conseiller.",1.0,1,5,0.5297032277051675
49419047,46712600,0.0,2025-10-20,3,4,\N,\N,\N,,24: Freebox Pop | 39.99€,Sa arrive sou vent actuellement .Très désagréable .j espère que sa va s arrêter.merci,4.0,3,6,0.8539427793563406
49418817,15094126,0.0,2025-10-20,1,0,\N,\N,\N,,24: Freebox Pop | 39.99€,"3 pannes sur cette semaine + 4 pannes au début de septembre, cela fait beaucoup de coupures et d'heures d'abonnement payées pour rien. Il serait bienvenu de faire un geste commercial conséquent.",0.0,1,1,0.5914435848551212
49418405,32227254,0.0,2025-10-20,1,2,\N,\N,\N,,24: Freebox Pop | 39.99€,Je souhaite avoir un conseiller en ligne concernant le mode de paiement de mon forfait mobile.,2.0,1,4,0.322409855842816
49418379,42630560,0.0,2025-10-20,3,6,\N,\N,\N,,31: Freebox Ultra avec Player TV Free 4K | 59.99€,"Les pannes deviennent de plus en plus récurrentes ces derniers temps, sur les réseaux en règle générale (plusieurs opérateurs). Ce n'est pas la 1ère fois, et cela gêne considérablement notre travail à la maison. Jusqu'à récemment, nous avions passé DES ANNEES sans aucun souci depuis notre souscription à FREE. Espérons que cela ne devienne pas chronique!",6.0,3,5,0.3807509131679698
49418228,60498807,0.0,2025-10-20,1,0,\N,\N,\N,,22: Freebox Delta avec Player TV Free Devialet | 49.99€,"Nous ne sommes pas du tout content des valeurs de Free, la bonne pub ne sera pas faite pour vous, au revoir Free.",0.0,1,3,0.7017597300909759
49334437,25327883,135088.0,2025-10-17,1,1,\N,\N,\N,,28: Série Spéciale Freebox Pop S | 23.99€,"3244 nul  
Impossible à joindre  
Une honte",1.0,1,3,0.5999894031564575
49309891,86987475,135088.0,2025-10-17,1,0,\N,\N,\N,,28: Série Spéciale Freebox Pop S | 23.99€,"Je voulais demander des informations en appelant le service client, il n’a pas répondu à ma question et il voulait prendre mon RIB lorsque je ne voulais pas lui communiquer mon RIB ; il m’a dit qu’il me bloquerait.",0.0,1,3,0.5145508245202316
49284451,60925672,135088.0,2025-10-17,2,5,\N,\N,\N,,28: Série Spéciale Freebox Pop S | 23.99€,"J'avais une question sur la durée de l'offre promotionnelle (prix du forfait), ayant mal lu les conditions générales de vente envoyées par mail.  
J'ai donc appelé le service de souscription. La personne au téléphone n'était pas très agréable et à côté complet de l'information que je lui demandais. Quand j'ai fini par lui demander qui pouvait me renseigner, elle ne savait pas....  
Pour attirer les nouveaux clients, j'ai vu mieux quand même !",5.0,2,6,0.5656818836648106
49573638,22617485,0.0,2025-10-22,2,2,\N,\N,\N,,11: Freebox Révolution avec TV by CANAL | 39.99€,Insatisfaite !!!,2.0,2,7,0.5622993943667652
49573689,87530529,0.0,2025-10-22,1,0,\N,\N,\N,,24: Freebox Pop | 39.99€,"Problème répétitif !!! Aucune réponse du service ,",0.0,1,2,0.37524664852207806
49573637,93130326,0.0,2025-10-22,1,2,\N,\N,\N,,24: Freebox Pop | 39.99€,"La réponse donnée n'a aucun rapport avec ma demande comme s'il s'agissait d'une réponse automatique. J'ai demandé pourquoi en voulant passer de la pop à l'ultra essentiel, on me disait que je devais payer 40,99 euros alors qu'il est indiqué 39,90 euros sur le site de Free. Si on me fait payer des frais de migration, ce qui est un vol en soit, c'est considéré comme un nouvel abonnement. Donc le tarif à 30,99 euros devrait m'être appliquée.  
C'est inadmissible de ne plus avoir la possibilité d'avoir directement un interlocuteur avec Free quand je déplore la qualité de mon réseau et qu'on me répond toujours à côté de la plaque. Une honte pour Free que j'utilise depuis son arrivée.",2.0,1,1,0.4414385512276609
49573537,66175651,0.0,2025-10-22,2,0,\N,\N,\N,,24: Freebox Pop | 39.99€,"Aucun moyen d'arranger une situation à titre exceptionnel et on ne peut même pas choisir notre date pour les prélèvements, réponse à la va-vite sans chercher plus loin ni essayer de proposer une solution. J’ai juste demandé à décaler une date de prélèvement en fonction du salaire, comme tous les autres organismes le font : même Canal+ m’a proposé un délai pour le règlement d’une mensualité. Donc Free préfère prendre des frais aux gens que les aider à trouver un arrangement !",0.0,2,3,0.4205697004648292
49572649,25389338,0.0,2025-10-22,2,0,\N,\N,\N,,08: Freebox Révolution | 29.99€,"Rien à redire sur l'intervention du technicien, par contre côté Free (direction) il est honteux que Free ne prenne pas les choses au sérieux et ne mette pas les moyens pour sécuriser son réseau. Je ne recommande Free à personne : interventions à répétition, délais d’intervention trop longs, aucun délai pour réparer définitivement, aucun respect de la parole donnée. Il suffit de voir l'historique de mes demandes pour constater que Free se fiche de ses clients.  
Double zéro pointé.",0.0,2,7,0.39515244010102324
49572537,55003108,0.0,2025-10-22,2,6,\N,\N,\N,,08: Freebox Révolution | 29.99€,"Le conseiller était très à l'écoute de la requête, il a très bien compris ma demande mais n'a pas pu apporter de solution immédiate et favorable à ma requête.  
Mais je le remercie pour sa gentillesse.",6.0,2,0,0.5061121107091301
49572550,53968683,0.0,2025-10-22,1,0,\N,\N,\N,,,"À la demande de votre conseillère de proximité Léa, j'ai résilié mon contrat car la connexion Internet était souvent interrompue. Plusieurs techniciens se sont déplacés et malgré que j'aie résilié, j'ai dû payer des frais de résiliation de 59 €, je trouve ça inadmissible car c'est vous qui n'avez pas su honorer votre contrat.",0.0,1,1,0.6606876036447343
49572496,63352391,0.0,2025-10-22,1,0,\N,\N,\N,,22: Freebox Delta avec Player TV Free Devialet | 49.99€,Pas satisfaite du service. Je suis restée sans réseau pendant presque 2 mois. 2 RDV d’intervention de technicien annulés après le jour de l’intervention sans raison. Prélèvement de la facture avec pénalité suite rejet alors que je suis sans réseau depuis 1 mois. Impact sur mon travail car besoin de réseau. Très mauvaise communication avec le service client.,0.0,1,2,0.34088404562197183
49572242,45001037,0.0,2025-10-22,3,5,\N,\N,\N,,10: Freebox mini 4K | 29.99€,"Échanges avec les conseillers positifs, mais le délai d'intervention d'un technicien à mon domicile pour résoudre mon problème et rétablir mes services fibre beaucoup trop long : 10 jours sans les services et sans possibilité d'intervention plus rapide. Ce n'était pas le cas avant, la réactivité pour la venue d'un technicien était bien plus rapide.",5.0,3,7,0.7460989097245503
49571477,18351942,0.0,2025-10-22,1,1,\N,\N,\N,,24: Freebox Pop | 39.99€,"Je ne comprends pas ce délai, étant donné que j'ai demandé aux techniciens, ce qui s'est passé pour que cela ne fonctionne pas, il n'a pas su me répondre, il a juste dit qu'il avait de l'expérience, sauf que tous mes rendez-vous ont été annulés à chaque fois en me disant qu'il y avait un problème sur l'infrastructure.",1.0,1,6,0.33539392499788173
49571234,31277383,0.0,2025-10-22,1,0,\N,\N,\N,,11: Freebox Révolution avec TV by CANAL | 39.99€,"Totalement déçus du service Fibre. Depuis plus de 9 mois, aucune demande d'installation de point de branchement n'a été faite auprès de l'organisme concerné, alors que nous sommes régulièrement sollicités pour le raccordement au réseau !!!!",0.0,1,5,0.646624435751004
49571090,66477801,0.0,2025-10-22,1,4,\N,\N,\N,,09: Freebox Révolution Light | 29.99€,Réponse non adaptée au problème,4.0,1,0,0.5247858775323344
49570919,73936193,0.0,2025-10-22,1,1,\N,\N,\N,,08: Freebox Révolution | 29.99€,1 mois sans téléphone ni de télé je suis pas satisfait j'espère que cette panne ne sera pas facturée,1.0,1,7,0.4916374144845406
49570757,65140602,0.0,2025-10-22,1,4,\N,\N,\N,,16: Freebox IPADSL | 35.98€,"Je n'ai eu aucun conseiller en ligne donc aucune réponse positive, j'ai envoyé ma résiliation par recommandé",4.0,1,0,0.8540942582436128
49570519,71307930,0.0,2025-10-22,1,2,\N,\N,\N,,24: Freebox Pop | 39.99€,"Problème réglé que temporairement, les mêmes dysfonctionnements apparaissent à nouveau",2.0,1,2,0.8540908920600483
49570160,20880656,0.0,2025-10-22,1,3,\N,\N,\N,,14: Freebox Révolution avec TV by CANAL | 44.99€,Scandaleux de payer plus cher l'abonnement qu'un nouvel abonné.,3.0,1,1,0.6709241831905152
49570212,98478112,0.0,2025-10-22,1,0,\N,\N,\N,,09: Freebox Révolution Light | 29.99€,"Conseillé qui veut beaucoup trop faire copain-copain. Grand manque d'efficacité. Au total 20 minutes de perdu pour me dire qu'au final il a envoyé une lettre de résiliation par voie postale alors qu'il est noté sur le site qu'on peut résilier au 3244.  
Très déçu du service FREE depuis ma souscription.",0.0,1,6,0.7719088080756298
49569838,13605718,0.0,2025-10-22,2,0,\N,\N,\N,,11: Freebox Révolution avec TV by CANAL | 39.99€,"Ces pannes de connexion arrivent BIEN TROP SOUVENT!! Free est très riche et a suffisamment de moyens pour faire en sorte que ses lignes soient plus solides et moins exposées aux pannes. Le règlement de mon abonnement mensuel, depuis plus de 20 ans, n'a jamais été en panne!!",0.0,2,7,0.4373480956468196
49569667,24869748,0.0,2025-10-22,1,3,\N,\N,\N,,24: Freebox Pop | 39.99€,"Les interlocuteurs ont essayé sans résultat car à mon avis il est difficile de faire des interventions à distance avec des interlocuteurs différents. Ce fut du bricolage plus destructeur que réparateur.  
Tout refonctionne mais pas grâce à l'assistance FREE.",3.0,1,5,0.3850182710646177
49568227,90262114,0.0,2025-10-22,1,1,\N,\N,\N,,24: Freebox Pop | 39.99€,"Depuis votre nouveau système d’être rappelé, je n’ai jamais été autant dans l’attente que maintenant, alors que j’en ai fait des opérateurs.",1.0,1,1,0.6167631030055881
49568207,85078501,0.0,2025-10-22,1,0,\N,\N,\N,,28: Série Spéciale Freebox Pop S | 23.99€,"Je ne suis pas satisfait depuis le début de FREE et je suis étonné de telles réactions pour un si grand opérateur, j'en ferai part en direction afin que de temps en temps, ils aient des remontées en direct de ce qui se passe en région.",0.0,1,0,0.5122680599365828
49568006,21933115,0.0,2025-10-22,1,0,\N,\N,\N,,31: Freebox Ultra avec Player TV Free 4K | 59.99€,service nulle et ne sert a rien,0.0,1,4,0.37499144942595186
49568011,59039822,0.0,2025-10-22,1,2,\N,\N,\N,,24: Freebox Pop | 39.99€,Sans commentaires conseiller désagréable,2.0,1,6,0.5624901925704215
49568028,98058786,0.0,2025-10-22,2,3,\N,\N,\N,,24: Freebox Pop | 39.99€,Mieux comprendre la demande serai bien car je stipule que j'avais le débit bien plus élevé auparavant.,3.0,2,3,0.46847870421336907
49567646,87450313,0.0,2025-10-22,3,3,\N,\N,\N,,11: Freebox Révolution avec TV by CANAL | 39.99€,Nous ne pouvons plus avoir de conseiller au téléphone et maintenant il faut beaucoup de temps pour communiquer et résoudre son problème....,3.0,3,7,0.5967537332094034
49566060,32811724,0.0,2025-10-22,1,0,\N,\N,\N,,09: Freebox Révolution Light | 29.99€,"C'est pas Julien de Free Proxi que je note, mais l'incompétence du service Free. En effet, les frais de mise en service ne m'ont pas été communiqués ; de plus, je devais régler 3 forfaits à 9,90 €, hors à ce jour, il n'y en a qu'un à 15,90 €. Le RIB devait être valable pour l'ensemble des forfaits ainsi que la box, hors c'est prélevé sur 2 comptes différents. Je ne recommande pas Free : services de souscription malhonnêtes. Le service résiliation indiquait un remboursement des frais de 49 € alors que j'étais encore dans mon délai de rétractation ; j'attends toujours. Et quand je rappelle, on me dit que c'est une information erronée : pas de remboursement.",0.0,1,0,0.42741839648029
49565608,78740934,0.0,2025-10-22,2,5,\N,\N,\N,,41: Freebox Ultra Essentiel avec Player TV Free 4K | 49.99€,Trop long à expliquer. Je suis très très déçue et en colère 5 jours d'enfer pour moi.,5.0,2,5,0.49656729875233646
49565508,61870953,0.0,2025-10-22,2,5,\N,\N,\N,,24: Freebox Pop | 39.99€,Trop long à réparer une soirée et une matinée,5.0,2,7,0.8541455912910042
49565417,49278723,0.0,2025-10-22,1,0,\N,\N,\N,,08: Freebox Révolution | 29.99€,"Il est totalement incompréhensible que pour un débranchement dans un point de mutualisation par un opérateur qui s'en fout de bien faire son travail et donc débranche des lignes actives pour en mettre d'autres, un délai de 5 jours pour effectuer cette réparation soit appliqué et qu'en plus le réparateur ne vient même pas au domicile et met de fausses photos !!!!  
Cela veut bien dire que les opérateurs qui viennent dépanner sont malveillants, et donc 5 jours pour réparer de la malveillance est inacceptable.  
Le service correspond réellement à la pub rêvée !!  
Déplorable",0.0,1,4,0.27528483118660885
49565354,44630579,0.0,2025-10-22,2,1,\N,\N,\N,,31: Freebox Ultra avec Player TV Free 4K | 59.99€,"Bonjour, Je suis en panne, tous les mois, tous les mois un technicien se déplace, je perds 5 jours de connexion par mois, sans vraiment trouver de solution.  
Je dois de nouveau attendre la prochaine panne...  
Aucune solution ne m'est apportée. Visiblement, il va falloir que je change d'opérateur, pour trouver une équipe plus sérieuse, peut-être retourner chez Orange.  
Cordialement",1.0,2,2,0.6026794397947512
49565302,62540437,0.0,2025-10-22,1,3,\N,\N,\N,,25: Freebox Pop avec TV by CANAL | 44.99€,"Je ne suis pas habituée à internet. La réponse ne m'a pas éclairée. J'ai demandé à être rappelée, mais ça n'a pas été fait. J'ai besoin d'un contact téléphonique. Merci",3.0,1,0,0.5406078412240349
49565263,52403649,0.0,2025-10-22,1,0,\N,\N,\N,,,"J'ai envoyé une lettre avec accusé de réception où j'évoque ma désastreuse expérience avec Free, qui se trouve toujours sans réponses.  
La demande de résiliation ayant été faite, je ne peux ni vous joindre ni me connecter sur votre site, je suis tout simplement bloqué.  
J'ose espérer que suite à ce message je serai recontacté, bien que je n'espère plus.  
La prise de contact avec le médiateur se rapproche...",0.0,1,5,0.4926760617750578
49565055,80874214,0.0,2025-10-22,1,5,\N,\N,\N,,08: Freebox Révolution | 29.99€,"J'attendais une proposition commerciale afin de ne pas changer d'opérateur pour ma box, mais on ne m'a rien proposé comme offre concernant la box.",5.0,1,1,0.9270429995163082
49564822,34126331,0.0,2025-10-22,3,6,\N,\N,\N,,08: Freebox Révolution | 29.99€,Aujourd'hui le problème n'est pas résolu,6.0,3,2,0.7812041829270163
49564487,50477670,0.0,2025-10-22,2,4,\N,\N,\N,,09: Freebox Révolution Light | 29.99€,"Étant déjà chez Free, je n'ai pu obtenir le tarif Pop proposé aux nouveaux arrivants. Je trouve injuste de ne pouvoir bénéficier des baisses de tarifs de cette offre. J'attends maintenant la moindre opportunité pour migrer chez un autre FAI.",4.0,2,1,0.9484861783589307
49564410,33894854,0.0,2025-10-22,1,2,\N,\N,\N,,26: Freebox Delta avec Player TV Free 4K | 49.99€,"Le conseiller n'a pas répondu à ma demande, je ferai donc une réclamation au service concerné, je songe à changer d'opérateur si le souci n'est pas réglé rapidement.",2.0,1,2,0.589540923820537
49564363,24216954,0.0,2025-10-22,1,0,\N,\N,\N,,11: Freebox Révolution avec TV by CANAL | 39.99€,vous ne souhaitez pas nous faire profiter d'une de vos offres alors que nous sommes client depuis plusieurs années,0.0,1,1,0.8539668478041764
49564151,46023003,0.0,2025-10-22,1,0,\N,\N,\N,,24: Freebox Pop | 39.99€,Malgré l'échange de matériels rien ne va nous avons toujours la TV qui perd ses couleurs,0.0,1,4,0.7081274963858712
49561840,77457995,0.0,2025-10-22,3,5,\N,\N,\N,,24: Freebox Pop | 39.99€,"C'est délicat mais on arrive à saturation ! Être constamment débranché par un technicien ! Si on pouvait avoir une assistance dans la journée pour avoir accès à internet ! Car j'ai suivi l'opération, cela ne relève pas du niveau ingénieur ! Et l'opération prend 2 min ! Bref, être coupé plusieurs jours chaque fois alors que 5 min suffisent pour retrouver la connexion !",5.0,3,2,0.4452693234854482
49561628,42176175,0.0,2025-10-22,1,0,\N,\N,\N,,26: Freebox Delta avec Player TV Free 4K | 49.99€,Je suis pas satisfaite du service free,0.0,1,4,0.5621885810672295
